movie,user,rating,review,time
Avatar,Rahul,5,Visually stunning movie with great world building,2024-12-01 18:30:00
Avatar,Anjali,4,Excellent graphics but story felt familiar,2024-12-02 10:15:00
Titanic,Suresh,5,Emotional and timeless love story,2024-12-01 20:10:00
Titanic,Priya,4,Great acting and music but a bit long,2024-12-03 14:45:00
Inception,Arjun,5,Brilliant concept and mind bending visuals,2024-12-02 09:30:00
Inception,Meena,5,One of Nolan’s best movies ever,2024-12-04 19:20:00
The Dark Knight,Vikram,5,Heath Ledger was phenomenal as Joker,2024-12-03 21:00:00
The Dark Knight,Neha,4,Great superhero movie with strong story,2024-12-04 11:50:00
Interstellar,Karthik,5,Science and emotions blended perfectly,2024-12-05 08:40:00
Interstellar,Divya,4,Beautiful visuals but complex plot,2024-12-05 16:30:00
Avengers: Endgame,Rohit,5,Perfect conclusion to the Marvel saga,2024-12-06 20:00:00
Avengers: Endgame,Pooja,4,Action packed and emotional,2024-12-06 22:15:00
Joker,Manoj,5,Dark and powerful performance,2024-12-07 18:10:00
Joker,Sneha,4,Disturbing but well made movie,2024-12-07 21:45:00
Forrest Gump,Amit,5,Simple story with deep message,2024-12-08 10:00:00
Forrest Gump,Kavya,5,Inspirational and heart touching,2024-12-08 13:20:00
Gladiator,Ramesh,4,Strong action and emotional depth,2024-12-09 17:30:00
Gladiator,Swathi,5,One of the best historical movies,2024-12-09 19:40:00
The Matrix,Sanjay,5,Revolutionary concept and action scenes,2024-12-10 09:15:00
The Matrix,Lakshmi,4,Very creative but slightly confusing,2024-12-10 14:00:00
The campaign,Thri,5,It is a good movie to watch and I highly recommend this,2025-12-19 23:12:45.833466
avatar,thriveni,4,"it is a good movie
",2025-12-24 16:02:21.754445
spectre,thriveni,4,"Great action scenes, excellent visuals, and a strong performance by Daniel Craig. A thrilling James Bond movie with an engaging story and memorable characters.
",2026-07-20 14:49:06.434507
