index,genre,id,title,popularity,runtime,vote_avg,vote_count,cast,director
0,Action Adventure Fantasy Science Fiction,19995,Avatar,150.437577,162,7.2,11800,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,Adventure Fantasy Action,285,Pirates of the Caribbean: At World's End,139.082615,169,6.9,4500,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,Action Adventure Crime,206647,Spectre,107.376788,148,6.3,4466,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,Action Crime Drama Thriller,49026,The Dark Knight Rises,112.31295,165,7.6,9106,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,Action Adventure Science Fiction,49529,John Carter,43.926995,132,6.1,2124,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,Fantasy Action Adventure,559,Spider-Man 3,115.699814,139,5.9,3576,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,Animation Family,38757,Tangled,48.681969,100,7.4,3330,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,Action Adventure Science Fiction,99861,Avengers: Age of Ultron,134.279229,141,7.3,6767,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,Adventure Fantasy Family,767,Harry Potter and the Half-Blood Prince,98.885637,153,7.4,5293,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,Action Adventure Fantasy,209112,Batman v Superman: Dawn of Justice,155.790452,151,5.7,7004,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
10,Adventure Fantasy Action Science Fiction,1452,Superman Returns,57.925623,154,5.4,1400,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
11,Adventure Action Thriller Crime,10764,Quantum of Solace,107.928811,106,6.1,2965,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,Adventure Fantasy Action,58,Pirates of the Caribbean: Dead Man's Chest,145.847379,151,7,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,Action Adventure Western,57201,The Lone Ranger,49.046956,149,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,Action Adventure Fantasy Science Fiction,49521,Man of Steel,99.398009,143,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
